PPFD,CO2,T,Pn
900,2200,28,30.97617689
800,2200,28,30.63603846
700,2200,28,28.47068808
600,2200,28,26.8458463
500,2200,28,23.86502078
400,2200,28,20.83909009
300,2200,28,15.51640387
200,2200,28,10.93047569
100,2200,28,4.045206675
50,2200,28,0.520340329
20,2200,28,-1.023771918
0,2200,28,-2.161088111
1900,1900,28,38.49802497
1700,1900,28,36.81987473
1500,1900,28,35.92267932
1300,1900,28,35.60064491
1100,1900,28,34.8108738
1000,1900,28,33.73377484
900,1900,28,32.6472064
800,1900,28,30.18166612
700,1900,28,29.34374719
600,1900,28,27.32179014
500,1900,28,25.6178869
400,1900,28,20.79376455
300,1900,28,17.80332683
200,1900,28,12.68206028
100,1900,28,4.179299822
50,1900,28,0.441705915
20,1900,28,-0.928626047
0,1900,28,-1.888859162
1900,1600,28,37.73590415
1700,1600,28,36.6588696
1500,1600,28,35.8904471
1300,1600,28,35.00876526
1100,1600,28,33.60501279
1000,1600,28,33.63662678
900,1600,28,32.22512722
800,1600,28,31.40967735
700,1600,28,29.32123528
600,1600,28,27.83777179
500,1600,28,24.82476626
400,1600,28,20.364171
300,1600,28,16.15671098
200,1600,28,10.05746793
100,1600,28,4.914664922
50,1600,28,0.480694921
20,1600,28,-1.18508842
0,1600,28,-1.968415964
1900,1300,28,36.80354237
1700,1300,28,35.55465782
1500,1300,28,34.92812406
1300,1300,28,33.34613309
1100,1300,28,32.21026796
1000,1300,28,31.66701924
900,1300,28,30.97100264
800,1300,28,29.71366385
700,1300,28,28.61505414
600,1300,28,26.75129764
500,1300,28,23.20813362
400,1300,28,20.15234815
300,1300,28,15.67003192
200,1300,28,10.6628835
100,1300,28,4.110399228
50,1300,28,1.865180873
20,1300,28,0.949308305
0,1300,28,-1.801298199
1900,1000,28,31.67204949
1700,1000,28,30.76622169
1500,1000,28,29.83954992
1300,1000,28,28.15637076
1100,1000,28,25.31639891
1000,1000,28,24.76472507
900,1000,28,23.21460265
800,1000,28,21.72184177
700,1000,28,20.85460336
600,1000,28,18.55208525
500,1000,28,16.31022868
400,1000,28,14.59279536
300,1000,28,11.89294166
200,1000,28,9.81986994
100,1000,28,4.984490097
50,1000,28,0.520753946
20,1000,28,-0.828295553
0,1000,28,-1.709940096
1900,800,28,25.8309364
1700,800,28,24.36212631
1500,800,28,24.25905296
1300,800,28,23.34498717
1100,800,28,21.28167325
1000,800,28,20.59424263
900,800,28,19.09287409
800,800,28,18.29645981
700,800,28,17.33620513
600,800,28,16.39386098
500,800,28,14.28902918
400,800,28,12.78674882
300,800,28,10.7930354
200,800,28,6.478789876
100,800,28,2.561943603
50,800,28,0.929273661
20,800,28,-0.23244097
0,800,28,-0.876430676
1900,600,28,21.12953051
1700,600,28,20.53128218
1500,600,28,19.05932902
1300,600,28,18.59357336
1100,600,28,16.97071686
1000,600,28,17.36132462
900,600,28,16.68705479
800,600,28,16.06596931
700,600,28,15.07916276
600,600,28,14.5354362
500,600,28,12.56917267
400,600,28,10.9966675
300,600,28,9.33792158
200,600,28,5.985610262
100,600,28,2.042823532
50,600,28,0.598887849
20,600,28,-0.48588231
0,600,28,-1.13724704
1900,400,28,16.26323744
1700,400,28,16.44069433
1500,400,28,15.85522408
1300,400,28,15.31716295
1100,400,28,14.72896136
1000,400,28,13.2384424
900,400,28,12.69707299
800,400,28,12.17437438
700,400,28,11.42637014
600,400,28,10.71278179
500,400,28,10.06054784
400,400,28,9.033494777
300,400,28,6.768497996
200,400,28,6.057451444
100,400,28,1.868069376
50,400,28,0.078236457
20,400,28,-0.441740162
0,400,28,-1.179064429
1900,200,28,9.277303041
1700,200,28,8.11186742
1500,200,28,8.355410967
1300,200,28,8.88884036
1100,200,28,8.558613779
1000,200,28,7.344519736
900,200,28,7.089639257
800,200,28,7.707712134
700,200,28,7.315531131
600,200,28,7.885275285
500,200,28,7.329518297
400,200,28,6.75623594
300,200,28,5.548318903
200,200,28,4.719609238
100,200,28,2.29773035
50,200,28,0.019394878
20,200,28,-0.484865027
0,200,28,-1.079111221
1900,0,28,-1.874366804
1700,0,28,-2.276734946
1500,0,28,-2.539100419
1300,0,28,-2.611548242
1100,0,28,-2.675948849
1000,0,28,-2.679414039
900,0,28,-2.63570695
800,0,28,-2.618701899
700,0,28,-2.561788959
600,0,28,-2.448374578
500,0,28,-2.376422775
400,0,28,-2.250583516
300,0,28,-2.093111141
200,0,28,-1.839698619
100,0,28,-1.596213532
50,0,28,-1.311990139
20,0,28,-1.177886276
0,0,28,-1.326954016
1900,2200,26,40.07366902
1700,2200,26,39.13620629
1500,2200,26,37.19321342
1300,2200,26,35.37785185
1100,2200,26,33.57155646
1000,2200,26,31.94221078
900,2200,26,30.90420686
800,2200,26,30.58043476
700,2200,26,28.06459506
600,2200,26,27.20722199
500,2200,26,24.25429713
400,2200,26,19.96178156
300,2200,26,16.18233316
200,2200,26,10.41924022
100,2200,26,4.644651755
50,2200,26,1.363622722
20,2200,26,-0.001159115
0,2200,26,-1.241072041
1900,1900,26,38.78271163
1700,1900,26,36.9719691
