PPFD,CO2,T,R:B,Pn_avg,count
0.0,800.0,22.0,1.0,-0.48342715296004485,4
50.0,800.0,22.0,1.0,2.927127761488733,4
100.0,800.0,22.0,1.0,5.916597091774547,4
200.0,800.0,22.0,1.0,10.55342490966327,4
300.0,800.0,22.0,1.0,13.763997448881682,4
400.0,800.0,22.0,1.0,15.69046753793926,4
500.0,800.0,22.0,1.0,16.8326877031487,4
600.0,800.0,22.0,1.0,17.45841690664701,4
800.0,800.0,22.0,1.0,18.147546929347463,4
1000.0,800.0,22.0,1.0,18.431285927367973,4
0.0,800.0,24.0,0.5,-0.5711789176295836,1
50.0,800.0,24.0,0.5,2.376239853235634,1
100.0,800.0,24.0,0.5,5.138574386992663,1
200.0,800.0,24.0,0.5,9.864295520746008,1
300.0,800.0,24.0,0.5,13.376907324937232,1
400.0,800.0,24.0,0.5,15.917483353799092,1
500.0,800.0,24.0,0.5,17.576911927902344,1
600.0,800.0,24.0,0.5,18.56252420523013,1
800.0,800.0,24.0,0.5,19.856089974621128,1
1000.0,800.0,24.0,0.5,20.621834837032303,1
0.0,800.0,24.0,0.75,-0.6001410650437872,2
50.0,800.0,24.0,0.75,2.2732024100208736,2
100.0,800.0,24.0,0.75,4.625678232271808,2
200.0,800.0,24.0,0.75,8.528406490368985,2
300.0,800.0,24.0,0.75,11.52601046598695,2
400.0,800.0,24.0,0.75,13.552699158897417,2
500.0,800.0,24.0,0.75,14.929645574526361,2
600.0,800.0,24.0,0.75,15.847474399623259,2
800.0,800.0,24.0,0.75,16.89213387808305,2
1000.0,800.0,24.0,0.75,17.229401970300056,2
0.0,800.0,24.0,0.83,-0.802592207964267,3
50.0,800.0,24.0,0.83,2.401166183436639,3
100.0,800.0,24.0,0.83,5.271849361089406,3
200.0,800.0,24.0,0.83,10.388146868467187,3
300.0,800.0,24.0,0.83,14.404266970984589,3
400.0,800.0,24.0,0.83,17.377168357505653,3
500.0,800.0,24.0,0.83,19.244298041715776,3
600.0,800.0,24.0,0.83,20.232166833565756,3
800.0,800.0,24.0,0.83,21.508351004987276,3
1000.0,800.0,24.0,0.83,21.987872519995936,3
0.0,800.0,24.0,0.88,-0.6150875688990601,2
50.0,800.0,24.0,0.88,2.895461401381672,2
100.0,800.0,24.0,0.88,6.2932234096466795,2
200.0,800.0,24.0,0.88,11.91185308508374,2
300.0,800.0,24.0,0.88,16.43806023533384,2
400.0,800.0,24.0,0.88,19.20222406819788,2
500.0,800.0,24.0,0.88,20.490956245131606,2
600.0,800.0,24.0,0.88,21.330672224978976,2
800.0,800.0,24.0,0.88,22.206940686940307,2
1000.0,800.0,24.0,0.88,22.76157383143842,2
0.0,800.0,24.0,1.0,-0.7789444204138856,4
50.0,800.0,24.0,1.0,2.868929784142134,4
100.0,800.0,24.0,1.0,6.036694284323516,4
200.0,800.0,24.0,1.0,11.32950156673735,4
300.0,800.0,24.0,1.0,15.174360803495425,4
400.0,800.0,24.0,1.0,17.601330842100307,4
500.0,800.0,24.0,1.0,18.945854212636636,4
600.0,800.0,24.0,1.0,19.74867983456253,4
800.0,800.0,24.0,1.0,20.765014209227303,4
1000.0,800.0,24.0,1.0,21.30250001684973,4
0.0,800.0,26.0,0.5,-0.5667640410919765,1
50.0,800.0,26.0,0.5,1.9979055202320812,1
100.0,800.0,26.0,0.5,3.879329395398729,1
200.0,800.0,26.0,0.5,7.340288933612175,1
300.0,800.0,26.0,0.5,10.008338081344007,1
400.0,800.0,26.0,0.5,12.10918432458404,1
500.0,800.0,26.0,0.5,13.519610309888778,1
600.0,800.0,26.0,0.5,14.461454268144452,1
800.0,800.0,26.0,0.5,15.723607886079996,1
1000.0,800.0,26.0,0.5,16.215018635633037,1
0.0,800.0,26.0,0.75,-0.8155554848675572,4
50.0,800.0,26.0,0.75,2.2562188445557507,4
100.0,800.0,26.0,0.75,4.87480364367947,4
200.0,800.0,26.0,0.75,9.060029245874931,4
300.0,800.0,26.0,0.75,12.19913081666062,4
400.0,800.0,26.0,0.75,14.374110416925477,4
500.0,800.0,26.0,0.75,15.780920654112574,4
600.0,800.0,26.0,0.75,16.543397790371433,4
800.0,800.0,26.0,0.75,17.206022622615905,4
1000.0,800.0,26.0,0.75,17.191033307632484,4
0.0,800.0,26.0,0.83,-0.3553748533814833,1
50.0,800.0,26.0,0.83,2.469681528613212,1
100.0,800.0,26.0,0.83,5.1007864635623035,1
200.0,800.0,26.0,0.83,10.022026798414922,1
300.0,800.0,26.0,0.83,14.00163986399945,1
400.0,800.0,26.0,0.83,16.81841609001829,1
