Solar_Vol,PPFD,CO2,T,R:B,Pn_avg,count
1.586366,400.0,800.0,24.0,0.5,15.917483353799092,1
1.686494,500.0,800.0,24.0,0.5,17.576911927902344,1
0.0,0.0,800.0,24.0,0.75,-0.6001410650437872,2
0.827675,50.0,800.0,24.0,0.75,2.2732024100208736,2
1.017454,100.0,800.0,24.0,0.75,4.625678232271808,2
1.270912,200.0,800.0,24.0,0.75,8.528406490368985,2
1.438591,300.0,800.0,24.0,0.75,11.52601046598695,2
1.569479,400.0,800.0,24.0,0.75,13.552699158897417,2
1.670269,500.0,800.0,24.0,0.75,14.92964557452636,2
1.777072,600.0,800.0,24.0,0.75,15.84747439962326,2
0.0,0.0,800.0,24.0,0.83,-0.802592207964267,3
1.017639,100.0,800.0,24.0,0.83,5.271849361089406,3
1.275173,200.0,800.0,24.0,0.83,10.388146868467189,3
1.428204,300.0,800.0,24.0,0.83,14.404266970984589,3
1.562632,400.0,800.0,24.0,0.83,17.377168357505653,3
1.665951,500.0,800.0,24.0,0.83,19.244298041715776,3
1.783429,600.0,800.0,24.0,0.83,20.232166833565756,3
0.0,0.0,800.0,24.0,0.88,-0.6150875688990601,2
1.272704,200.0,800.0,24.0,0.88,11.91185308508374,2
1.425779,300.0,800.0,24.0,0.88,16.43806023533384,2
1.56309,400.0,800.0,24.0,0.88,19.20222406819788,2
1.680056,500.0,800.0,24.0,0.88,20.490956245131606,2
1.781374,600.0,800.0,24.0,0.88,21.330672224978976,2
0.0,0.0,800.0,24.0,1.0,-0.7789444204138856,4
0.818815,50.0,800.0,24.0,1.0,2.868929784142134,4
0.999241,100.0,800.0,24.0,1.0,6.036694284323516,4
1.257945,200.0,800.0,24.0,1.0,11.32950156673735,4
1.420129,300.0,800.0,24.0,1.0,15.174360803495423,4
1.566589,400.0,800.0,24.0,1.0,17.601330842100307,4
1.670568,500.0,800.0,24.0,1.0,18.945854212636636,4
0.0,0.0,800.0,26.0,0.5,-0.5667640410919765,1
0.839616,50.0,800.0,26.0,0.5,1.9979055202320812,1
1.040044,100.0,800.0,26.0,0.5,3.879329395398729,1
1.278819,200.0,800.0,26.0,0.5,7.340288933612175,1
1.450362,300.0,800.0,26.0,0.5,10.008338081344007,1
1.586366,400.0,800.0,26.0,0.5,12.10918432458404,1
1.686494,500.0,800.0,26.0,0.5,13.519610309888778,1
0.0,0.0,800.0,26.0,0.75,-0.8155554848675572,4
0.827675,50.0,800.0,26.0,0.75,2.2562188445557507,4
1.017454,100.0,800.0,26.0,0.75,4.87480364367947,4
1.270912,200.0,800.0,26.0,0.75,9.060029245874931,4
1.438591,300.0,800.0,26.0,0.75,12.19913081666062,4
1.569479,400.0,800.0,26.0,0.75,14.374110416925475,4
1.670269,500.0,800.0,26.0,0.75,15.780920654112574,4
1.777072,600.0,800.0,26.0,0.75,16.543397790371433,4
0.0,0.0,800.0,26.0,0.83,-0.3553748533814833,1
1.017639,100.0,800.0,26.0,0.83,5.1007864635623035,1
1.275173,200.0,800.0,26.0,0.83,10.022026798414922,1
1.428204,300.0,800.0,26.0,0.83,14.00163986399945,1
1.562632,400.0,800.0,26.0,0.83,16.81841609001829,1
1.665951,500.0,800.0,26.0,0.83,18.551055628623615,1
1.783429,600.0,800.0,26.0,0.83,19.255230572189564,1
0.0,0.0,800.0,26.0,0.88,-0.6552685422812882,3
1.272704,200.0,800.0,26.0,0.88,11.532931379150568,3
1.425779,300.0,800.0,26.0,0.88,16.120872470242958,3
1.56309,400.0,800.0,26.0,0.88,19.33437241696642,3
1.680056,500.0,800.0,26.0,0.88,21.31260322183643,3
1.781374,600.0,800.0,26.0,0.88,22.55183728249153,3
0.0,0.0,800.0,26.0,1.0,-0.7562481208179445,3
0.818815,50.0,800.0,26.0,1.0,2.6030176409140484,3
0.999241,100.0,800.0,26.0,1.0,5.499042217808625,3
1.257945,200.0,800.0,26.0,1.0,10.358471219092984,3
1.420129,300.0,800.0,26.0,1.0,14.126125646487084,3
1.566589,400.0,800.0,26.0,1.0,16.638950980462464,3
1.670568,500.0,800.0,26.0,1.0,18.37051513800642,3
0.0,0.0,800.0,30.0,0.5,-0.8349246493784184,1
0.839616,50.0,800.0,30.0,0.5,1.5794860348194166,1
1.040044,100.0,800.0,30.0,0.5,3.571860678855709,1
1.278819,200.0,800.0,30.0,0.5,6.964026606100558,1
1.450362,300.0,800.0,30.0,0.5,9.822155813890108,1
1.586366,400.0,800.0,30.0,0.5,12.14724554290471,1
1.686494,500.0,800.0,30.0,0.5,13.776497357046225,1
0.0,0.0,800.0,30.0,0.75,-1.9194548878781108,1
0.827675,50.0,800.0,30.0,0.75,1.5113873326904086,1
1.017454,100.0,800.0,30.0,0.75,4.381209400109906,1
1.270912,200.0,800.0,30.0,0.75,9.355606873869537,1
1.438591,300.0,800.0,30.0,0.75,13.210091112422653,1
1.569479,400.0,800.0,30.0,0.75,15.857379355902784,1
1.670269,500.0,800.0,30.0,0.75,17.412734810485237,1
1.777072,600.0,800.0,30.0,0.75,18.298532284052506,1
0.0,0.0,800.0,30.0,0.83,-0.8817744094581519,1
1.017639,100.0,800.0,30.0,0.83,4.812140224648694,1
1.275173,200.0,800.0,30.0,0.83,9.711961795084669,1
1.428204,300.0,800.0,30.0,0.83,13.953011028357954,1
1.562632,400.0,800.0,30.0,0.83,17.526103085933073,1
1.665951,500.0,800.0,30.0,0.83,20.05012025869861,1
1.783429,600.0,800.0,30.0,0.83,21.71179091139956,1
0.0,0.0,800.0,30.0,0.88,-1.026094989443498,2
1.272704,200.0,800.0,30.0,0.88,9.692181046534174,2
1.425779,300.0,800.0,30.0,0.88,14.179740652671573,2
1.56309,400.0,800.0,30.0,0.88,17.885671124548324,2
1.680056,500.0,800.0,30.0,0.88,20.711570149330814,2
1.781374,600.0,800.0,30.0,0.88,22.404841547172992,2
0.0,0.0,800.0,30.0,1.0,-0.9263279044635964,3
0.818815,50.0,800.0,30.0,1.0,2.013326037016733,3
0.999241,100.0,800.0,30.0,1.0,4.378387034605821,3
1.257945,200.0,800.0,30.0,1.0,8.573378133639421,3
1.420129,300.0,800.0,30.0,1.0,12.047823531402631,3
1.566589,400.0,800.0,30.0,1.0,14.790543886086596,3
1.670568,500.0,800.0,30.0,1.0,16.795608150314298,3
